"","campus","faculty","semester","program","gender1","gender2","enough_info_delivery","enough_info_assessment","enough_time","online_access","resource_access","scheduled_learning","learning_duration","collaborative_study","constant_feedback","comfortably_study","STD.DVN","gender"
"12",5,15,"4.0","AM110",NA,"Female",5,4,5,5,5,5,5,5,5,5,0.3,NA
"14",5,15,"1.0","AM110",NA,"Female",4,5,4,4,4,4,4,4,4,4,0.3,NA
"29",3,9,"2.0","AS120",NA,"Female",4,5,4,4,4,4,4,4,4,4,0.3,NA
"56",5,26,"2.0","IM110",NA,"Female",5,4,4,4,4,4,4,4,4,4,0.3,NA
"76",5,23,"4.0","AC110",NA,"Female",5,4,4,4,4,4,4,4,4,4,0.3,NA
"81",3,12,"4.0","RSR241","Male",NA,5,4,4,4,4,4,4,4,4,4,0.3,"Male"
"89",3,13,"5.0","Horticulture","Male",NA,5,4,4,4,4,4,4,4,4,4,0.3,"Male"
"91",3,24,"6.0","BA242","Male",NA,5,4,4,4,4,4,4,4,4,4,0.3,"Male"
"100",5,24,"4.0","Business administration (hons) Marketing",NA,"Female",5,5,4,5,5,5,5,5,5,5,0.3,NA
"136",5,26,"1.0","Diploma in Library Management",NA,"Female",5,5,5,5,5,4,5,5,5,5,0.3,NA
"139",3,12,"2.0","SR113",NA,"Female",5,5,5,5,5,4,5,5,5,5,0.3,NA
"140",5,10,"2.0","CS110","Male",NA,5,5,5,5,5,4,5,5,5,5,0.3,"Male"
"142",5,15,"4.0","AM110",NA,"Female",5,5,5,5,5,4,5,5,5,5,0.3,NA
"170",5,24,"1.0","Business studies",NA,"Female",4,4,4,4,4,4,4,4,4,5,0.3,NA
"182",5,24,"2.0","Ba111",NA,"Female",4,4,4,4,4,4,4,4,4,5,0.3,NA
"184",5,24,"2.0","Banking studies",NA,"Female",4,4,4,4,4,4,4,4,4,5,0.3,NA
"193",3,10,"2.0","CS110",NA,"Female",4,4,4,4,4,4,4,4,4,5,0.3,NA
"208",5,23,"4.0","Diploma of Accountancy",NA,"Female",4,4,4,4,4,4,4,4,4,5,0.3,NA
"211",3,12,"4.0","SR113","Male",NA,4,4,4,4,4,4,4,4,4,5,0.3,"Male"
"215",3,10,"4.0","CS110","Male",NA,4,4,4,4,4,4,4,4,4,5,0.3,"Male"
"226",5,24,"5.0","KBA 244 OPERATIONAL MANAGEMENT",NA,"Female",4,4,4,4,4,4,4,4,4,5,0.3,NA
"247",3,10,"4.0","CS143",NA,"Female",5,5,5,5,5,5,5,5,5,4,0.3,NA
"260",5,17,"2.0","Industrial design","Male",NA,4,4,4,4,4,4,4,4,5,4,0.3,"Male"
"262",5,15,"2.0","Am110",NA,"Female",4,4,4,4,4,4,4,4,5,4,0.3,NA
"278",5,23,"4.0","AC220",NA,"Female",4,4,4,4,4,4,4,4,5,4,0.3,NA
"304",5,12,"3.0","SR241","Male",NA,4,4,4,4,4,4,5,4,4,4,0.3,"Male"
"307",3,12,"4.0","RSR241","Male",NA,4,4,4,4,4,4,5,4,4,4,0.3,"Male"
"326",5,24,"2.0","Office management and technology",NA,"Female",4,4,4,4,5,4,4,4,4,4,0.3,NA
"352",5,11,"2.0","AP243",NA,"Female",4,4,4,5,4,4,4,4,4,4,0.3,NA
"399",3,10,"4.0","computer science",NA,"Female",4,4,5,4,4,4,4,4,4,4,0.3,NA
"427",3,13,"2.0","Diploma plantation industry management","Male",NA,3,4,4,4,4,4,4,4,4,4,0.3,"Male"
"429",3,12,"2.0","Sport Study","Male",NA,3,4,4,4,4,4,4,4,4,4,0.3,"Male"
"447",3,11,"4.0","AP120",NA,"Female",3,4,4,4,4,4,4,4,4,4,0.3,NA
"450",5,24,"5.0","Finance",NA,"Female",3,4,4,4,4,4,4,4,4,4,0.3,NA
"462",5,26,"2.0","information management",NA,"Female",4,3,4,4,4,4,4,4,4,4,0.3,NA
"472",5,10,"2.0","Diploma in Computer Science",NA,"Female",4,3,4,4,4,4,4,4,4,4,0.3,NA
"478",5,24,"4.0","Diploma in office management and technology",NA,"Female",4,3,4,4,4,4,4,4,4,4,0.3,NA
"498",5,26,"1.0","Library management",NA,"Female",4,4,3,4,4,4,4,4,4,4,0.3,NA
"501",3,10,"1.0","CS240",NA,"Female",4,4,3,4,4,4,4,4,4,4,0.3,NA
"518",5,24,"2.0","Office management",NA,"Female",4,4,3,4,4,4,4,4,4,4,0.3,NA
"521",3,23,"2.0","Fundamental Cost Accounting",NA,"Female",4,4,3,4,4,4,4,4,4,4,0.3,NA
"537",3,12,"2.0","SR245",NA,"Female",4,4,3,4,4,4,4,4,4,4,0.3,NA
"545",3,10,"2.0","CS110","Male",NA,4,4,3,4,4,4,4,4,4,4,0.3,"Male"
"553",3,9,"2.0","DIPLOMA SAINS",NA,"Female",4,4,3,4,4,4,4,4,4,4,0.3,NA
"607",3,13,"4.0","Diploma",NA,"Female",4,4,3,4,4,4,4,4,4,4,0.3,NA
"676",5,24,"1.0","Pra diploma perdagangan","Male",NA,4,4,4,3,4,4,4,4,4,4,0.3,"Male"
"678",5,24,"1.0","DIPLOMA IN BANKING",NA,"Female",4,4,4,3,4,4,4,4,4,4,0.3,NA
"700",5,26,"2.0","Library Management",NA,"Female",4,4,4,3,4,4,4,4,4,4,0.3,NA
"718",5,24,"2.0","Banking",NA,"Female",4,4,4,3,4,4,4,4,4,4,0.3,NA
"720",5,24,"2.0","BA119",NA,"Female",4,4,4,3,4,4,4,4,4,4,0.3,NA
"726",5,23,"2.0","AC110","Male",NA,4,4,4,3,4,4,4,4,4,4,0.3,"Male"
"727",3,23,"2.0","Accounting In Information System",NA,"Female",4,4,4,3,4,4,4,4,4,4,0.3,NA
"742",5,15,"2.0","AM110",NA,"Female",4,4,4,3,4,4,4,4,4,4,0.3,NA
